name,category_b,category_s,location,link
정선애펜션&글램핑,캠핑장,펜션,강원도,https://m.place.naver.com/place/32873219?entry=ple
명파해변오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1694594827?entry=ple
삼남매와 뭉치네 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37883288?entry=ple
무릉계곡힐링캠프장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32769383?entry=ple
월현포레스트,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1979825779?entry=ple
보리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1081059284?entry=ple
노블레스글램핑카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1740023658?entry=ple
외룡캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/33101989?entry=ple
오크카운티 펜션,캠핑장,펜션,강원도,https://m.place.naver.com/place/1121613162?entry=ple
월강캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1090408518?entry=ple
백담설화캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37830354?entry=ple
진동리 국민여가캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/962191920?entry=ple
원평해수욕장야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35452471?entry=ple
홍천뜨란오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1344858085?entry=ple
원주두리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/15276453?entry=ple
물가애오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35445125?entry=ple
철원가산농원캠핑장,캠핑장,펜션,강원도,https://m.place.naver.com/place/36770975?entry=ple
파인트리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1583723921?entry=ple
회동솔향캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37638184?entry=ple
양양고인돌캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1664200597?entry=ple
원대리751 글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1095399096?entry=ple
수목화송정마을오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1425750085?entry=ple
양양캠프장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1838237064?entry=ple
리버위드 글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1626558285?entry=ple
펫힐링 달빛동물원&오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1370700346?entry=ple
치악신림오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/36609578?entry=ple
인제 스테이밸리 캠핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1122416683?entry=ple
순긋해변야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/31499717?entry=ple
트리하우스계곡야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1296720777?entry=ple
섬강두꺼비오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1302706135?entry=ple
용가리쌤캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32507609?entry=ple
어썸비치 글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1085796528?entry=ple
자작도해수욕장캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35413633?entry=ple
강릉금진리321카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1554088885?entry=ple
이루다글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1199602024?entry=ple
정동진오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1985941989?entry=ple
박사마을 어린이 글램핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38310077?entry=ple
강촌하늘아래글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35445134?entry=ple
피노키오관광농원,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1846189096?entry=ple
윈드밸리글램핑,캠핑장,펜션,강원도,https://m.place.naver.com/place/1976546617?entry=ple
내리계곡솔밭캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/15538161?entry=ple
르쏠레이475카페글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1695364255?entry=ple
삼척엘림캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37818549?entry=ple
휴앤아크,캠핑장,카페,강원도,https://m.place.naver.com/place/1108232244?entry=ple
고성탑글램핑 농원,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1648363499?entry=ple
파라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1599956221?entry=ple
캠프하다,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1765075359?entry=ple
홍천강오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35476646?entry=ple
프라임 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/31098834?entry=ple
아날로거 무릉도원점,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1894072163?entry=ple
동강전망휴양림오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1144255311?entry=ple
봉바위돌집,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/15265977?entry=ple
개똥이네 애견캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1782183199?entry=ple
마운틴87,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1584558170?entry=ple
물가솔솔캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1643103747?entry=ple
호반캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1849802772?entry=ple
인스타글램,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1132040611?entry=ple
백담고을캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32891450?entry=ple
벳소캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/36939090?entry=ple
양양포레스트캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1894174324?entry=ple
철원학마을캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37089397?entry=ple
르쏠레이475,캠핑장,"카페,디저트",강원도,https://m.place.naver.com/place/1263132783?entry=ple
약수골캠프촌,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1180812050?entry=ple
봉봉카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1305238174?entry=ple
보광농촌체험휴양마을,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1223421640?entry=ple
강원도힐링캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32769405?entry=ple
엘리시안 강촌 캠핑파크,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1450544165?entry=ple
리라캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1034764713?entry=ple
낙산솔밭오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1540532246?entry=ple
등명해변솔향캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38466374?entry=ple
동강빌리지카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1755053049?entry=ple
럭셔리글램핑 바누,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37349843?entry=ple
히어리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32874541?entry=ple
티피캠핑장,캠핑장,펜션,강원도,https://m.place.naver.com/place/37647867?entry=ple
내설악글램핑파크,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38278883?entry=ple
비발디캠핑파크,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32769393?entry=ple
갯마을해수욕장 야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38466381?entry=ple
밸리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1885222260?entry=ple
러빙네이쳐,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1754158985?entry=ple
민트초코캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1126810294?entry=ple
진부관광농원,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1272265073?entry=ple
장터추어탕캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1323661957?entry=ple
평창캠프닉,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1980750500?entry=ple
켄싱턴호텔 평창글램핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/33008023?entry=ple
평창 자연속쉼표캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1757610280?entry=ple
개암벌용소관광농원,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35103332?entry=ple
팔랑골캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1095900326?entry=ple
행복빌리지,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1072396647?entry=ple
새말캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1932904236?entry=ple
웰리힐리파크오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35425145?entry=ple
산솔오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37667904?entry=ple
가야지캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1586828588?entry=ple
캠프 파지립,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1535342085?entry=ple
하조스테이,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1018636698?entry=ple
고길동캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32708333?entry=ple
늘솔길,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1441472155?entry=ple
설악동야영장오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1616206094?entry=ple
템플온더비치 스테이,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1618006580?entry=ple
여울애꽃물들인캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/36912860?entry=ple
힐링스토리,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37452559?entry=ple
을수골별빛계곡,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1488209758?entry=ple
마루지캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1670239345?entry=ple
오색장군바위오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35418024?entry=ple
봄봄캠핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1976086022?entry=ple
오색허브농원 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1762262922?entry=ple
마가리캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/32646785?entry=ple
우니메이카 홍천점,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37942556?entry=ple
반디하우스오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/11731343?entry=ple
예다움캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37081965?entry=ple
양양한스오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1285835065?entry=ple
우니메이카 정선점,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1629044789?entry=ple
두창시변리마을회야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38342311?entry=ple
한울오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38009542?entry=ple
캠핑중DOG,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1666231805?entry=ple
캠프우든브릿지,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1005108513?entry=ple
별이빛나는밤에 글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1725240315?entry=ple
수복캠핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1908442222?entry=ple
