name,category_b,category_s,rating,review_cnt,review_url,location,address,img
지쿠조,식당,이자카야,,31.0,https://m.place.naver.com/restaurant/1628070164/review/visitor,홍대,서울 마포구 독막로 61-6 지1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231228_32%2F1703732034386D4qtX_JPEG%2FKakaoTalk_20231228_115245491.jpg
고시고시 연남,식당,퓨전음식,,1240.0,https://m.place.naver.com/restaurant/1938128417/review/visitor,홍대,서울 마포구 동교로38길 33-21 1층 고시고시,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220425_104%2F16508841055361kv4H_JPEG%2FP20220422_182325431_2A107024-C15C-4DBE-A2B6-75993A0B740E-2.jpg
구공탄곱창 본점,식당,"곱창,막창,양",4.5,780.0,https://m.place.naver.com/restaurant/20986095/review/visitor,홍대,서울 마포구 양화로6길 77,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20161228_147%2F1482895722261YuTM0_JPEG%2F1438263524376.jpg
비터스,식당,바(BAR),4.7,151.0,https://m.place.naver.com/restaurant/1595745527/review/visitor,홍대,서울 마포구 홍익로 3-30 B1,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200911_44%2F1599802621983pHoY6_JPEG%2FPNlM3L77-A6bNdAMMtwxYx_w.JPG.jpg
두끼 홍대점,식당,분식,4.27,962.0,https://m.place.naver.com/restaurant/37288434/review/visitor,홍대,서울 마포구 홍익로6길 8,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231018_163%2F1697637348865880wM_PNG%2FKakaoTalk_20231010_093642239.png
오비야,식당,일식당,4.21,316.0,https://m.place.naver.com/restaurant/13478975/review/visitor,홍대,서울 마포구 홍익로2길 27-20 2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221031_193%2F1667187136005IAiNe_JPEG%2Fimage.jpg
김덕후의곱창조 홍대본점,식당,"곱창,막창,양",4.35,627.0,https://m.place.naver.com/restaurant/32779391/review/visitor,홍대,서울 마포구 와우산로 51-9,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160203_273%2F1454484132849Ci4u2_JPEG%2F176153565230470_7.jpg
베트남이랑 홍대점,식당,베트남음식,,563.0,https://m.place.naver.com/restaurant/1056641490/review/visitor,홍대,서울 마포구 월드컵북로2길 97 2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220908_11%2F16626147925856L10L_JPEG%2F3.jpg
사운드카페 소리,식당,바(BAR),,156.0,https://m.place.naver.com/restaurant/38641836/review/visitor,홍대,서울 마포구 와우산로 159 2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230221_96%2F1676974948629GpggS_JPEG%2F%25BC%25D2%25B8%25AE%25C1%25A4%25B8%25E9%25C4%25AD%25B8%25B7%25C0%25CC%25B9%25DDP%25B8%25E9.jpg
좋아해닭발,식당,닭발,4.43,1495.0,https://m.place.naver.com/restaurant/1146797936/review/visitor,홍대,서울 마포구 와우산로 107 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220728_45%2F1659000045037f1AOP_PNG%2F2.png
