name,review_url,score
현대백화점 무역센터점 문화홀,https://m.place.naver.com/place/1552142776/review/visitor,0.8786883354187012
강남스퀘어,https://m.place.naver.com/place/38526204/review/visitor,0.8475145697593689
그랜드인터컨티넨탈 그랜드볼룸,https://m.place.naver.com/place/13445065/review/visitor,0.8699456453323364
강남구민회관 공연장,https://m.place.naver.com/place/1625450156/review/visitor,0.986629605293274
민속극장풍류,https://m.place.naver.com/place/19490518/review/visitor,0.9170705676078796
EMK뮤지컬컴퍼니,https://m.place.naver.com/place/13117581/review/visitor,0.8067096471786499
JADE409,https://m.place.naver.com/place/1056643946/review/visitor,0.7473645806312561
마이라이브홀,https://m.place.naver.com/place/34827492/review/visitor,0.785649299621582
현대백화점 압구정본점 문화홀,https://m.place.naver.com/place/1609365928/review/visitor,0.8496626615524292
플레이빌,https://m.place.naver.com/place/1970932121/review/visitor,0.8334035277366638
선릉유아트홀,https://m.place.naver.com/place/1364274599/review/visitor,0.9031698703765868
샤롯데씨어터,https://m.place.naver.com/place/12091168/review/visitor,0.8160738348960876
예술의전당,https://m.place.naver.com/place/11621559/review/visitor,0.7561461329460144
블루스퀘어,https://m.place.naver.com/place/20268194/review/visitor,0.7761754393577576
롯데콘서트홀,https://m.place.naver.com/place/37892033/review/visitor,0.7950019240379333
예스24라이브홀,https://m.place.naver.com/place/11718383/review/visitor,0.8395206332206726
올림픽공원 올림픽홀,https://m.place.naver.com/place/13187611/review/visitor,0.9015360474586488
한전아트센터,https://m.place.naver.com/place/13281305/review/visitor,0.9261377453804016
우리금융아트홀,https://m.place.naver.com/place/13283859/review/visitor,0.8285273313522339
나루아트센터,https://m.place.naver.com/place/12780980/review/visitor,0.9249383211135864
서울숲 씨어터,https://m.place.naver.com/place/1084065479/review/visitor,0.832275927066803
한전아트센터 공연장,https://m.place.naver.com/place/20526330/review/visitor,0.7214593291282654
광진교 8번가,https://m.place.naver.com/place/13222642/review/visitor,0.9613302946090698
예술의전당 오페라하우스 자유소극장,https://m.place.naver.com/place/13412874/review/visitor,0.828085720539093
올림픽홀 뮤즈라이브,https://m.place.naver.com/place/20311984/review/visitor,0.8389169573783875
오페라극장,https://m.place.naver.com/place/37870866/review/visitor,0.9344709515571594
송파여성문화회관,https://m.place.naver.com/place/1179597657/review/visitor,0.8316230773925781
광진문화예술회관,https://m.place.naver.com/place/1390839629/review/visitor,0.8694190382957458
흰물결 화이트홀,https://m.place.naver.com/place/13281010/review/visitor,0.942431092262268
건국대학교 서울캠퍼스새천년관대공연장,https://m.place.naver.com/place/11639884/review/visitor,0.7660763263702393
음악플러스 아트홀,https://m.place.naver.com/place/1214145170/review/visitor,0.9368104934692384
브라움홀,https://m.place.naver.com/place/33546273/review/visitor,0.9422864317893982
TheK아트홀,https://m.place.naver.com/place/11639890/review/visitor,0.8719510436058044
라율아트홀,https://m.place.naver.com/place/1963539304/review/visitor,0.933097243309021
영산양재홀,https://m.place.naver.com/place/13283950/review/visitor,0.6666277647018433
아트홀제이,https://m.place.naver.com/place/38668129/review/visitor,0.9382756948471068
국립국악원 예악당,https://m.place.naver.com/place/13412867/review/visitor,0.8119817972183228
잠실롯데호텔 크리스탈볼룸,https://m.place.naver.com/place/13291107/review/visitor,0.7926512956619263
롯데월드 어드벤처 민속박물관 놀이마당,https://m.place.naver.com/place/13445014/review/visitor,0.8618789315223694
가든파이브아트홀,https://m.place.naver.com/place/1431728102/review/visitor,0.8200724124908447
국립발레단,https://m.place.naver.com/place/37883199/review/visitor,0.8739681243896484
phoneclassic,https://m.place.naver.com/place/1968143398/review/visitor,0.7326396107673645
카오스홀,https://m.place.naver.com/place/323116568/review/visitor,0.8675894141197205
세일화방,https://m.place.naver.com/place/38454014/review/visitor,0.583118200302124
앵콜스뜨개실,https://m.place.naver.com/place/33127144/review/visitor,0.8558349609375
이음갤러리,https://m.place.naver.com/place/1265150588/review/visitor,0.8470210433006287
