name,category_b,category_s,rating,review_cnt,review_url,location,address,img,isoutdoor
나무PC&CAFE,pc방,PC방,,58,https://m.place.naver.com/place/1154390367/review/visitor,강남,서울 서초구 반포대로14길 42 . 지하1층 101호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230422_27%2F16821381487541wagq_JPEG%2FKakaoTalk_20230422_133133497_07.jpg,0
맥스피드PC방 동서울터미널점,pc방,PC방,,13,https://m.place.naver.com/place/1456162984/review/visitor,강남,"서울 광진구 강변역로4길 10 B1층 7, 8호",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230522_110%2F1684717913755JkexG_JPEG%2F%25B3%25BB%25BA%25CE1.jpg,0
라인업PC방,pc방,PC방,4.12,72,https://m.place.naver.com/place/38455268/review/visitor,강남,서울 송파구 송파대로 453 레이크빌빌딩 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190411_51%2F1554987640632cQu8s_JPEG%2Fauf2cge504ZxLFg6yMz3AQfB.jpg,0
아이센스리그PC방 천호점,pc방,PC방,,18,https://m.place.naver.com/place/1372956537/review/visitor,강남,서울 강동구 천호옛길 84 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221015_146%2F1665822902681AnrzM_JPEG%2F20221014_170832.jpg,0
피씨앤쿡 건대점,pc방,PC방,,60,https://m.place.naver.com/place/1094916978/review/visitor,강남,서울 광진구 뚝섬로 503,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220905_265%2F1662360624545y0Uum_JPEG%2FKakaoTalk_20220905_153719603_03.jpg,0
맥스피드PC 문정직영,pc방,PC방,,45,https://m.place.naver.com/place/1716678280/review/visitor,강남,서울 송파구 법원로 92 파트너스1 B1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MThfMjAz%2FMDAxNjkyMzYyMDIzNjE1.3gGzoEnzsOMLZNWbSQKNe2bYOZzctz-XcJPOSEqKM2Ug.zsdVjPugo_s_h43m22n0Gz-C21V8ZVueliTgxKlos3Eg.JPEG.kimyee0607%2FImage_20230818213119.jpg,0
플존 방이2호점,pc방,PC방,,52,https://m.place.naver.com/place/1188745376/review/visitor,강남,서울 송파구 오금로11길 10,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221224_42%2F1671890273759HYSVf_JPEG%2F20221222_145201233.jpg,0
와드PC,pc방,PC방,,38,https://m.place.naver.com/place/1546224472/review/visitor,강남,서울 송파구 백제고분로50길 27 경일빌딩 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221115_232%2F16684440589865UdEg_JPEG%2F20221113_140250.jpg,0
나는PC방이다,pc방,PC방,,26,https://m.place.naver.com/place/1822578518/review/visitor,강남,서울 송파구 올림픽로32길 11 혜성빌딩,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221226_72%2F1672045067164U1vlK_JPEG%2F20221222_161039503.jpg,0
큐브 PC방,pc방,PC방,4.35,63,https://m.place.naver.com/place/763890086/review/visitor,강남,서울 서초구 고무래로 12 지하1층 큐브PC방,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190331_54%2F1554016426496mcahQ_JPEG%2Fy_NfJNyDYtMDUPhatG6Y7WRS.jpg,0
